_id	OPERADOR	DENOMINACIÓN	TIPO DE OPERADOR	MACRODISTRITO	PLACA	TIPO	MARCA	COLOR
4707	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	5637ELA	ALTO	SUZUKI	GRIS
4708	Radio Taxi	RADIO MOVIL ROSARIO DE GAVIOTAS SERVICE	Empresa	MACRODISTRITO 1 COTAHUMA-8 DE DICIEMBRE	830ECE	corolla	TOYOTA	BLANCO
4709	Radio Taxi	TOUR SERVICE DUKES	Empresa	MACRODISTRITO 5 SUR-SEGUENCOMA ALTO	1876FAC	sprinter CARIB	TOYOTA	BLANCO
4710	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	926XKX	carib	TOYOTA	NEGRO
4711	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4503KLD	ALTO	SEAT	COBRE
4712	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	5008TIF	EX80	KEYTON	GRIS
4713	Radio Taxi	COMPAÑIA DE RADIOTAXIS EL SAPITO	Empresa	MACRODISTRITO 5 SUR-SEGUENCOMA BAJO	5686SEN	S-PRESSO	SUZUKI	BLANCO
4714	Radio Taxi	TRANSPORTES ONLINE	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	5684LAA	Atos	HYUNDAI	AZUL
4715	Radio Taxi	REDAMERIPLUS	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-PURA PURA	1540TLC	Caldina	TOYOTA	NEGRO
4716	Radio Taxi	ROSNICAR	Empresa	MACRODISTRITO 3 PERIFERICA-ACHACHICALA	3467TDK	celerio	SUZUKI	AZUL PERLADO
4717	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	5267GYD	Spresso	SUZUKI	GRIS
4718	Radio Taxi	RADIO MOVIL IDEAL	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	563SSR	CORONA	TOYOTA	BLANCO
4719	Radio Taxi	RADIO MOVIL EL PROGRESO	Empresa	MACRODISTRITO 5 SUR-BELLA VISTA	2192TER	DEMIO	MAZDA	AZUL
4720	Radio Taxi	UNISUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-IRPAVI	2572KTT	COROLLA	TOYOTA	VERDE
4721	Radio Taxi	UNISUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-IRPAVI	1329XEG	COROLLA	TOYOTA	PLATEADO
4722	Radio Taxi	RADIO MOVIL ACHUMANI S. R. L.	Empresa	MACRODISTRITO 5 SUR-ACHUMANI	1454CDC	sprinter	TOYOTA	PLOMO
4723	Radio Taxi	SERVI MOVIL TRUST TOURING S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-ROSARIO	2051HUS	ipsum	TOYOTA	PLOMO
4724	Radio Taxi	SERVI MOVIL TRUST TOURING S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-ROSARIO	1471XFB	caldina	TOYOTA	AZUL
4725	Radio Taxi	RADIO TAXI GOBERNADOR	Empresa	MACRODISTRITO 3 PERIFERICA-VILLA FATIMA	3787GAY	alto	SUZUKI	NEGRO
4726	Radio Taxi	RADIO MOVIL ACHUMANI S. R. L.	Empresa	MACRODISTRITO 5 SUR-ACHUMANI	3477BHU	alto	SUZUKI	PLATEADO
4727	Radio Taxi	AMOR DE DIOS	Empresa	MACRODISTRITO 5 SUR-BELLA VISTA	1453RAL	Vagoneta Caldina	TOYOTA	PLOMO
4728	Radio Taxi	EMPRESA DE TRANSPORTES ETAXI.BO S.A.	Empresa	MACRODISTRITO 5 SUR-CALACOTO	5618GIE	KICKS	NISSAN	ROJO BURDEOS
4729	Radio Taxi	UNISUR S.R.L.	Empresa	MACRODISTRITO 5 SUR-IRPAVI	2736KYD	caldina	TOYOTA	BLANCO
4730	Radio Taxi	RMOVIL BOLIVIA TOURS	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	2563UUE	corolla AXIO	TOYOTA	PLATEADO
4731	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	667CBP	Corolla	TOYOTA	BLANCO
4732	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3463DAX	Sx4	SUZUKI	ROJO
4733	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	5262AII	Spresso	SUZUKI	BLANCO
4734	Radio Taxi	ZABALA MAGISTRADO - VIP	Empresa	MACRODISTRITO 3 PERIFERICA-MIRAFLORES ALTO (PERIFERICA)	4837NBE	ALTO	SUZUKI	PLATA
